diversity,equity,inclusion,document_length,Doc_ID
2,57,31,4590,12349721.F
2,8,16,1261,12349827.F
0,7,12,2226,12349885.F
3,62,13,1565,12350134.F
3,23,32,3182,12350157.F
0,10,13,1410,12350282.F
8,25,72,7520,12350805.F
8,22,40,3698,12350848.F
2,33,32,2366,12351540.F
3,21,25,2007,12351544.F
37,5,17,1712,12353648.F
0,51,20,3672,12354068.F
1,34,38,3161,12354618.F
4,16,21,3330,12355056.F
0,24,11,1858,12355730.F
2,7,18,2756,12355911.F
32,384,240,9122,12356742.F
212,540,571,19001,12357134.F
24,37,83,6197,12358460.F
3,62,70,7500,12358531.F
3,5,22,2738,12359937.F
2,23,16,3672,12360327.F
3,11,40,4556,12360331.F
3,13,14,3330,12360370.F
29,6,11,1772,12362234.F
2,8,10,1512,12363171.F
2,14,7,1451,12363811.F
0,13,8,2160,12384065.F
0,8,12,2833,12384066.F
5,40,30,4393,12385867.F
2,15,9,1745,12388986.F
16,44,95,2855,12390366.F
5,37,27,2987,12391685.F
0,8,22,2844,12392008.F
1,11,9,3155,12400930.F
14,163,216,19379,12400975.F
3,21,32,2575,12401046.F
5,37,28,4702,12401870.F
4,19,56,2159,12403287.F
0,22,40,2123,12412454.F
3,29,21,4819,12414134.F
6,27,8,4892,12414137.F
2,23,18,4103,12414139.F
3,6,15,3992,12414150.F
8,72,58,8003,12414211.F
6,19,51,2741,12414506.F
3,34,9,3923,12414847.F
66,17,21,3512,12415057.F
3,21,37,1986,12415240.F
0,8,4,2820,12415644.F
18,130,216,5765,12415685.F
11,27,36,3998,12416109.F
3,26,14,4015,12418104.F
2,27,22,2654,12421707.F
2,37,40,5168,12421712.F
0,37,29,3996,12421716.F
0,2,0,889,12424844.F
12,6,69,3792,12425079.F
17,3,65,4100,12425082.F
25,25,101,5030,12425085.F
0,19,10,2155,12426166.F
27,49,70,3375,12426535.F
1,11,15,1701,12426545.F
0,30,11,2273,12429594.F
5,27,48,2984,12429806.F
129,80,256,18044,12430046.F
4,17,16,3341,12430767.F
200,57,139,8736,12430789.F
16,8,50,4411,12430943.F
42,127,226,10523,12432385.F
5,23,28,4706,12432492.F
1,22,44,5891,12437276.F
5,23,62,6996,12437300.F
1,39,57,6118,12437330.F
0,38,25,5485,12437340.F
12,36,136,4288,12437536.F
52,20,33,3069,12437631.F
77,71,236,9413,12437779.F
3,65,41,3003,12438036.F
0,8,14,1989,12440568.F
1,3,43,2263,12442526.F
59,22,25,3461,12444446.F
5,16,80,3714,12444786.F
8,13,22,4471,12444805.F
2,53,18,3855,12446211.F
1,19,24,3281,12446592.F
0,22,8,2580,12446833.F
9,36,66,4364,12447471.F
2,10,7,1559,12452172.F
1,32,22,2831,12454060.F
140,31,25,4950,12454259.F
0,22,15,2473,12454333.F
8,28,38,4007,12454678.F
7,14,43,2512,12454837.F
19,70,259,12580,12455032.F
0,32,37,3186,12456481.F
1,15,8,2032,12457689.F
0,20,23,2667,12457858.F
0,9,52,3897,12458673.F
11,19,18,3469,12458676.F
4,35,11,3900,12458725.F
2,20,21,5280,12460591.F
7,10,58,5277,12460593.F
9,42,51,6221,12460598.F
5,70,87,6356,12460601.F
2,13,14,1644,12465014.F
6,47,39,5445,12466612.F
0,17,5,2182,12467502.F
3,22,48,2667,12467845.F
0,9,18,2341,12468139.F
3,17,24,2257,12469239.F
1,22,6,2440,12469673.F
175,152,390,26914,12469743.F
0,23,11,2771,12469772.F
1,16,6,2652,12470083.F
3,41,31,4138,12472281.F
51,89,257,13396,12472545.F
15,75,185,12715,12473878.F
0,23,15,4743,12475023.F
9,40,86,2974,12477707.F
4,13,53,2334,12478432.F
5,15,29,4775,12483410.F
1,31,12,3700,12483548.F
1,37,19,3210,12483561.F
2,26,20,4129,12483651.F
8,46,40,3804,12484185.F
0,23,4,2096,12486774.F
153,45,177,11695,12487540.F
25,9,45,4805,12488244.F
10,19,22,3511,12488406.F
17,25,25,3352,12490564.F
1,31,20,3898,12490582.F
1,26,23,2251,12490659.F
2,24,32,2543,12491301.F
8,16,34,2521,12493427.F
0,13,19,2631,12493857.F
4,50,24,3094,12493862.F
1,26,98,4373,12493961.F
3,31,24,4533,12494204.F
2,22,35,3494,12494616.F
0,15,6,2378,12495005.F
3,6,7,2372,12495277.F
6,7,28,4138,12495553.F
7,5,17,2264,12495651.F
5,2,1,1050,12495679.F
10,26,60,4111,12495707.F
0,38,32,1744,12495879.F
14,61,226,13106,12496397.F
2,28,21,4096,12497382.F
7,39,25,3309,12497822.F
1,32,33,3337,12497889.F
1,23,30,1897,12498057.F
6,37,36,4791,12498291.F
3,32,52,5775,12499450.F
1,23,14,2121,12499722.F
2,17,4,1371,12500199.F
22,56,101,10333,12500286.F
12,22,55,6340,12501050.F
0,18,5,3257,12501533.F
5,20,13,2241,12501830.F
3,1,13,1006,12504676.F
0,8,3,804,12504855.F
0,18,5,1242,12505468.F
8,43,11,4673,12506230.F
15,64,183,12249,12509923.F
3,20,28,2173,12511050.F
11,91,118,15206,12512875.F
49,24,38,4047,12514072.F
14,10,23,1135,12514074.F
8,14,36,5568,12517637.F
1,1,7,3042,12517640.F
1,18,16,2947,12517643.F
0,3,15,3217,12517646.F
2,24,7,4163,12517652.F
2,26,25,4349,12518429.F
0,19,10,1560,12518891.F
1,33,19,3223,12518895.F
0,9,0,836,12521688.F
1,22,24,3377,12522578.F
24,103,198,18302,12528406.F
0,18,26,2531,12528700.F
0,15,12,1084,12529143.F
2,22,28,2716,12530113.F
3,28,31,4352,12530144.F
7,28,23,2719,12530169.F
34,4,19,2334,12530207.F
2,8,3,1219,12530304.F
2,20,35,2215,12530326.F
14,17,24,2062,12531046.F
1,27,9,3137,12531275.F
2,46,20,4392,12533742.F
17,70,148,13290,12534946.F
6,39,35,3660,12534999.F
0,30,35,3828,12535092.F
0,9,16,1070,12535253.F
5,65,30,6003,12535254.F
17,23,100,4571,12535661.F
17,10,83,4649,12535698.F
23,5,95,4563,12535782.F
16,52,58,2757,12537582.F
2,38,21,4786,12538650.F
1,15,32,5072,12540295.F
2,9,2,1061,12540461.F
0,4,20,846,12541236.F
46,7,56,2164,12542966.F
4,16,15,3226,12543256.F
2,54,41,5314,12543489.F
2,22,18,2427,12543667.F
5,13,11,2537,12545364.F
49,133,372,23277,12548150.F
33,113,207,15520,12548239.F
0,34,8,3606,12548410.F
11,9,42,3827,12548627.F
9,31,35,3196,12549313.F
9,5,23,4904,12549932.F
18,5,56,6261,12549940.F
4,14,28,5128,12549943.F
15,37,42,5933,12549947.F
0,24,28,2840,12550039.F
0,8,7,2137,12550096.F
0,8,47,4226,12550483.F
0,25,10,3125,12550485.F
0,7,0,879,12550699.F
8,15,30,3575,12550746.F
1,24,31,3064,12550820.F
863,75,114,13773,12550823.F
7,19,35,2234,12550829.F
1,17,29,1765,12550837.F
1,7,36,3198,12550921.F
21,98,113,4556,12553559.F
1,23,11,3019,12554137.F
21,27,32,3909,12555091.F
12,13,24,5885,12555106.F
13,14,85,6597,12555828.F
24,13,73,3954,12555837.F
13,12,70,5088,12555870.F
6,21,73,4020,12555899.F
1,31,19,4674,12555967.F
17,13,25,2903,12555968.F
3,26,38,3077,12556383.F
0,47,13,3935,12557003.F
3,15,20,4412,12557044.F
48,131,159,14460,12557078.F
2,31,13,4019,12557130.F
3,5,45,4180,12558101.F
6,24,46,4163,12558103.F
12,38,78,6900,12558374.F
107,118,162,14301,12558443.F
0,27,24,2630,12558940.F
3,32,33,4819,12559096.F
24,29,89,3387,12559554.F
7,46,75,6727,12559700.F
15,44,116,7234,12559702.F
5,38,60,5438,12559704.F
18,16,77,4027,12560100.F
17,12,92,4224,12560102.F
19,28,77,4119,12560105.F
47,58,270,9774,12560107.F
2,16,13,1900,12560536.F
31,49,129,7625,12563928.F
81,28,37,3331,12564330.F
7,14,25,4352,12564722.F
0,22,11,2644,12564868.F
1,8,21,2668,12564869.F
51,226,338,12373,12565452.F
5,6,10,2397,12565536.F
10,15,40,5634,12565921.F
2,32,20,5023,12565925.F
31,140,240,22145,12566575.F
2,5,32,1696,12567706.F
8,12,53,4786,12568163.F
4,42,38,5218,12568171.F
2,39,16,4236,12568176.F
5,49,31,4288,12568781.F
2,23,67,5751,12569800.F
5,34,78,6542,12569810.F
8,34,80,7214,12569812.F
3,41,43,5065,12569821.F
2,15,28,1778,12570160.F
3,46,31,5884,12573698.F
2,37,12,2775,12574327.F
0,7,17,2379,12574329.F
2,15,2,1443,12574333.F
3,14,2,1164,12574343.F
11,27,11,4950,12575326.F
9,19,22,3652,12575328.F
5,33,11,3898,12575330.F
3,32,29,3171,12575332.F
1,22,15,2980,12575844.F
1,7,10,3641,12578251.F
2,10,29,2709,12578252.F
4,37,19,3731,12578255.F
0,25,10,2885,12578256.F
0,36,8,2008,12578957.F
5,16,25,3968,12578976.F
11,5,26,2994,12580073.F
9,7,54,3277,12580074.F
169,154,298,8323,12580482.F
4,21,14,3848,12580520.F
56,86,162,12858,12583236.F
3,17,58,5766,12585252.F
0,11,22,1456,12585859.F
280,52,78,8046,12587705.F
12,46,75,2658,12588504.F
7,12,40,4893,12593126.F
9,23,84,5025,12593128.F
7,37,85,5805,12593130.F
4,46,81,5823,12593133.F
180,54,77,8141,12597120.F
1,19,11,2185,12597317.F
0,20,16,3868,12597320.F
1,20,5,1697,12597443.F
62,17,40,2682,12597989.F
8,46,15,5949,12599901.F
2,75,37,4721,12600022.F
24,28,33,4656,12600033.F
1,30,19,2882,12600904.F
2,17,16,3012,12602697.F
1,14,16,2081,12602766.F
7,38,62,4080,12603080.F
1,17,17,4992,12603190.F
1,40,13,5174,12603195.F
0,37,18,5315,12603202.F
9,28,32,5960,12603205.F
4,21,46,3734,12603368.F
2,2,20,2981,12603369.F
2,25,51,3800,12603370.F
6,13,13,4592,12604303.F
34,44,69,6349,12606506.F
0,28,30,4193,12606877.F
3,1,11,1297,12606997.F
20,1,14,2358,12606998.F
16,2,14,1425,12607001.F
4,22,23,4506,12607055.F
1,28,110,3975,12607432.F
3,8,6,1462,12607518.F
2,32,8,2353,12607552.F
8,16,33,2026,12607622.F
8,27,34,4152,12607716.F
1,5,48,2790,12607718.F
0,17,5,1663,12607879.F
76,27,137,7278,12608155.F
2,14,10,1679,12608180.F
6,47,48,6411,12608184.F
2,15,36,2109,12608602.F
12,38,7,3637,12608776.F
0,17,16,2608,12608876.F
2,25,34,4523,12608950.F
5,24,1,2314,12609170.F
